state_code,State,District,City,Population (%)
3,Punjab,Rupnagar,,2.47
3,Punjab,Faridkot,,2.23
3,Punjab,Shahid Bhagat Singh Nagar,,2.21
3,Punjab,Fatehpur Sahib,,2.16
3,Punjab,Barnala,,2.15
4,Uttarakhand,Haridwar,Haridwar ,18.74
4,Uttarakhand,Dehradun,Dehradun ,16.82
4,Uttarakhand,Udham Singh Nagar,Rudrapur,16.35
4,Uttarakhand,Nainital,Haldwani,9.46
4,Uttarakhand,Garhwal,,6.81
4,Uttarakhand,Almora,Rishikesh,6.17
4,Uttarakhand,Tehri Garhwal,,6.14
4,Uttarakhand,Pithoragarh,,4.79
4,Uttarakhand,Chamoli,,3.88
4,Uttarakhand,Uttarkashi,,3.27
4,Uttarakhand,Bageshwar,,2.58
4,Uttarakhand,Champawat,,2.57
4,Uttarakhand,Rudraprayag,,2.4
5,Haryana,Faridabad,Faridabad ,7.14
5,Haryana,Hisar,Hisar,6.88
5,Haryana,Bhiwani,,6.45
5,Haryana,Gurgaon,Gurugram,5.97
5,Haryana,Karnal,,5.94
5,Haryana,Sonipat,,5.72
5,Haryana,Jind,,5.26
5,Haryana,Sirsa,,5.11
5,Haryana,Yamunanagar,,4.79
5,Haryana,Panipat,,4.75
5,Haryana,Ambala,Ambala,4.45
5,Haryana,Mewat,,4.3
5,Haryana,Chandigarh,Chandigarh,4.29
5,Haryana,Kaithal,,4.24
5,Haryana,Rohtak,,4.19
5,Haryana,Palwal,,4.11
5,Haryana,Kurukshetra,,3.81
5,Haryana,Jhajjar,,3.78
5,Haryana,Fatehabad,,3.72
5,Haryana,Mahendragarh,,3.64
5,Haryana,Rewari,,3.55
5,Haryana,Panchkula,,2.21
6,Delhi,North West,,21.78
6,Delhi,South,Mehrauli,16.27
6,Delhi,West,,15.15
6,Delhi,South West,Vasant Kunj,13.66
6,Delhi,North East,Karawal Nagar,13.35
6,Delhi,East,,10.18
6,Delhi,North,,5.29
6,Delhi,Central,,3.47
6,Delhi,New Delhi,Delhi Cantonment,0.85
7,Rajasthan,Jaipur,Jaipur,9.67
7,Rajasthan,Jodhpur,Jodhpur,5.38
7,Rajasthan,Alwar,,5.36
7,Rajasthan,Nagaur,,4.83
7,Rajasthan,Udaipur,Udaipur,4.48
7,Rajasthan,Sikar,,3.91
7,Rajasthan,Barmer,,3.8
7,Rajasthan,Ajmer,Ajmer,3.77
7,Rajasthan,Bharatpur,,3.72
7,Rajasthan,Bhilwara,,3.51
7,Rajasthan,Bikaner,,3.45
7,Rajasthan,Jhunjhunun,,3.12
7,Rajasthan,Churu,,2.98
7,Rajasthan,Pali,,2.97
7,Rajasthan,Ganganagar,,2.87
7,Rajasthan,Kota,Kota,2.85
7,Rajasthan,Jalor,,2.67
7,Rajasthan,Banswara,,2.62
7,Rajasthan,Hanumangarh,,2.59
7,Rajasthan,Dausa,,2.38
7,Rajasthan,Chittaurgarh,,2.25
7,Rajasthan,Karauli,,2.13
7,Rajasthan,Tonk,,2.07
7,Rajasthan,Jhalawar,,2.06
7,Rajasthan,Dungarpur,,2.03
7,Rajasthan,Sawai Madhopur,,1.95
7,Rajasthan,Baran,,1.78
7,Rajasthan,Dhaulpur,,1.76
7,Rajasthan,Rajsamand,,1.69
7,Rajasthan,Bundi,,1.62
7,Rajasthan,Sirohi,,1.51
7,Rajasthan,Pratapgarh,,1.27
7,Rajasthan,Jaisalmer,Jaisalmer,0.98
8,Uttar Pradesh,Allahabad,Pragyaraj,2.98
8,Uttar Pradesh,Moradabad,,2.39
8,Uttar Pradesh,Ghaziabad,,2.34
8,Uttar Pradesh,Azamgarh,,2.31
8,Uttar Pradesh,Lucknow,Lucknow,2.3
8,Uttar Pradesh,Kanpur Nagar,Kanpur,2.29
